pid,mu,alpha,sigma,cost,bonus_rate,n_comprehension,bonus,total_time,params,start_time,browser,version,gender,age,education,wage,pass_check1,pass_check2,pass_instruct1,pass_instruct2,pass_instruct3,instruct_time
2057,0,1.0000000000000004,150,4,0.002,3.0,5.83,524885.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:16:24.372Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,35,college,5,1.0,1.0,1.0,1.0,1.0,5.5643666666666665
1233,0,0.10000000000000002,75,8,0.002,3.0,2.366,1106322.0,"{u'mu': 0, u'alpha': 0.10000000000000002, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 8, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:22:39.770Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,24,college,15,1.0,1.0,0.6666666666666666,1.0,1.0,17.17505
579,0,10.000000000000009,75,4,0.002,3.0,2.572,840100.0,"{u'mu': 0, u'alpha': 10.000000000000007, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:54:52.893Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15",1.0,female,39,college,2,1.0,1.0,1.0,1.0,1.0,9.569033333333334
663,0,3.1622776601683813,150,2,0.002,3.0,5.2620000000000005,733240.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:00:51.191Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,35,college,7,1.0,1.0,1.0,1.0,1.0,6.232033333333334
1504,0,3.1622776601683813,75,1,0.002,3.0,3.8139999999999996,291518.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:58:51.371Z,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",1.0,male,39,college,15,1.0,1.0,1.0,1.0,0.6666666666666666,2.7608
1978,0,0.31622776601683805,150,1,0.002,3.0,9.85,434792.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:54:54.417Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,35,college,10,1.0,1.0,1.0,1.0,1.0,4.474316666666667
2385,0,1.0000000000000004,75,4,0.002,3.0,1.742,387449.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:54:51.129Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,29,college,4,1.0,1.0,1.0,1.0,1.0,4.0553
1874,0,10.000000000000009,75,0,0.002,3.0,1.922,515607.0,"{u'mu': 0, u'alpha': 10.000000000000007, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 0, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:00:21.534Z,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",1.0,male,31,college,10,1.0,1.0,1.0,1.0,0.6666666666666666,4.510166666666667
1301,0,0.31622776601683805,75,2,0.002,3.0,3.8960000000000004,514418.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:58:49.548Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,34,grad,11,1.0,1.0,1.0,1.0,0.6666666666666666,4.524483333333333
1095,0,1.0000000000000004,75,1,0.002,3.0,2.822,722727.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:00:24.379Z,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,36,college,5,1.0,1.0,1.0,1.0,1.0,8.065466666666667
