Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight,trial_weight_75
0.0,0.0,0.187,0.162,0.6509999999999999,0.0,1.0,0.03855000000000002,0.1875,2.0,3.5239999999999996,87.11999999999998,"[87.12000000000091, 87.12000000000036, 87.12000000000029, 0.0, 0.0, 0.0]",1.5257236400393033,"[1.5257236400393304, 1.5257236400393028, 1.5257236400393028, 0.0, 0.0, 0.0]","[[-63, 78, -96, 57, -9, -3], [-20, 56, 144, 10, 157, -55], [52, 28, -26, -39, -71, 9], [-142, 37, -33, 119, -31, -20]]",80.07199999999997,"[79.96792626728187, 84.72427807486666, 75.12000000000019, 0.0, 0.0, 0.0]",1.4022927376633048,"[1.4004701050380028, 1.483767607255358, 1.3155688686840312, 0.0, 0.0, 0.0]",57.10077350427351,"[0.07999999999999999, 0.16, 0.06, 0.7]",UcRP52ek7voCWO5,-1.0,75.0,0.6334459459459459,0.6366723259762309
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0028344671201814067,0.1262755102040816,0.0,7.0,51.10579999999999,"[51.105800000000265, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8950106428273721,"[0.895010642827371, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-143, -23, -40, 157, -15, -67], [-132, -148, 57, -29, -121, -88], [-14, 52, -12, 39, 136, -170], [12, -39, -66, 42, 41, -5]]",51.10579999999999,"[51.105800000000265, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8950106428273721,"[0.895010642827371, 0.0, 0.0, 0.0, 0.0, 0.0]",57.10077350427351,"[0.16, 0.04, 0.21, 0.59]",4qk0EiRGfCBS6CA,-0.9463333333333332,75.0,0.950168918918919,0.9550084889643463
0.414,0.0,0.018000000000000002,0.0,0.568,0.0,1.0,0.026545836325270848,0.0840279047776518,1.0,5.431,61.46284,"[62.57485915492942, 59.059999999999974, 0.0, 0.0, 0.0, 60.041642512077516]",1.076392423920493,"[1.0958671015243986, 1.0343117330202172, 0.0, 0.0, 0.0, 1.0515031378267368]","[[121, -57, 14, -98, 74, -55], [-6, 67, 112, -10, -78, -70], [81, -151, 71, -66, -88, 65], [27, 75, 56, -41, 21, 61]]",56.03184,"[57.00091549295766, 55.05999999999998, 0.0, 0.0, 0.0, 54.74454106280208]",0.9812798769846172,"[0.9982511968719927, 0.964260142568458, 0.0, 0.0, 0.0, 0.9587355425002196]",57.10077350427351,"[0.26, 0.26, 0.3, 0.18]",3x7m0l3mT5kiw5F,-0.665852380952381,75.0,0.950168918918919,0.9550084889643463
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0028344671201814067,0.1262755102040816,0.0,7.0,118.08999999999996,"[118.08999999999752, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0218682782885435,"[1.0218682782885655, 0.0, 0.0, 0.0, 0.0, 0.0]","[[23, -33, 74, -71, 412, 94], [77, 17, -50, -5, -82, 100], [-104, -179, 13, 161, -65, -5], [-149, -266, 213, 83, -94, -48]]",118.08999999999996,"[118.08999999999752, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0218682782885435,"[1.0218682782885655, 0.0, 0.0, 0.0, 0.0, 0.0]",115.56283966244725,"[0.33, 0.08, 0.14, 0.45]",Vfbh3b30DDQrS1u,-0.9476666666666668,150.0,1.1613175675675675,0.0
0.0,0.0,0.295,0.0,0.705,0.0,10.0,0.04602740362811792,0.13467955782312924,8.0,3.9960000000000004,78.31854999999997,"[67.65191489361689, 103.81000000000051, 0.0, 0.0, 0.0, 0.0]",0.792206243106124,"[0.684311307305969, 1.050056852391247, 0.0, 0.0, 0.0, 0.0]","[[154, 184, -110, -46, 86, -141], [-111, -206, 168, 7, 56, 64], [53, 54, 286, 49, -109, -8], [174, -8, -147, 19, -128, 101]]",46.35055,"[27.379574468085213, 91.68796610169534, 0.0, 0.0, 0.0, 0.0]",0.4688441637568948,"[0.2769493284439766, 0.9274402956064088, 0.0, 0.0, 0.0, 0.0]",98.86131380753136,"[0.15, 0.27, 0.37, 0.21]",7MdK3SAZMHA9Mek,-0.7383252818035427,150.0,0.6334459459459459,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1875,0.0,6.0,41.51,"[0.0, 0.0, 41.50999999999987, 0.0, 0.0, 0.0]",0.557134986996454,"[0.0, 0.0, 0.5571349869964539, 0.0, 0.0, 0.0]","[[63, -91, -11, -55, 96, 3], [-65, 27, -60, 70, 50, 51], [-102, 115, -103, 25, 14, 48], [-98, -92, 60, -3, 1, -133]]",41.51,"[0.0, 0.0, 41.50999999999987, 0.0, 0.0, 0.0]",0.557134986996454,"[0.0, 0.0, 0.5571349869964539, 0.0, 0.0, 0.0]",74.50618067226894,"[0.02, 0.02, 0.09, 0.87]",JAHFEh04PXDWEXh,-1.0,75.0,1.0557432432432432,1.061120543293718
0.0,0.0,0.846,0.0,0.154,0.0,1.0,0.09256944444444444,0.1875,8.0,1.719,59.36240000000001,"[81.96597402597396, 55.2478014184392, 0.0, 0.0, 0.0, 0.0]",1.0396076332583697,"[1.4354617108617518, 0.9675490895811627, 0.0, 0.0, 0.0, 0.0]","[[-28, 32, -152, 15, -4, 30], [105, 114, -58, -35, 75, 6], [-46, -34, -17, -107, 96, 184], [36, 80, 23, 134, -80, 69]]",45.61040000000001,"[59.108831168831124, 43.15323877068547, 0.0, 0.0, 0.0, 0.0]",0.7987702652852233,"[1.0351669082802781, 0.7557382522577579, 0.0, 0.0, 0.0, 0.0]",57.10077350427351,"[0.06, 0.56, 0.03, 0.35]",YbHbDx6pdmy2mOa,-1.0,75.0,1.3724662162162162,1.3794567062818335
0.0,0.0,0.025,0.0,0.975,0.0,0.1,0.0054084908037289,0.11087159863945578,0.0,7.267,55.49,"[55.489999999999625, 55.49, 0.0, 0.0, 0.0, 0.0]",0.7447704270882498,"[0.7447704270882614, 0.7447704270882497, 0.0, 0.0, 0.0, 0.0]","[[22, -67, -13, -62, -85, 34], [69, -77, 12, 34, 109, 188], [56, -61, 62, 8, 90, 71], [33, 76, -70, -101, 116, -14]]",55.49,"[55.489999999999625, 55.49, 0.0, 0.0, 0.0, 0.0]",0.7447704270882498,"[0.7447704270882614, 0.7447704270882497, 0.0, 0.0, 0.0, 0.0]",74.50618067226894,"[0.28, 0.01, 0.16, 0.55]",J4GcwRd7tsV6aNC,-0.8098333333333333,75.0,0.8445945945945946,0.8488964346349746
0.0,1.0,0.0,0.0,0.0,0.0,10.0,,,8.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-5, -188, -53, -14, -46, 1], [88, -29, -28, -124, 39, 150], [-118, -98, -139, -61, -26, -17], [-81, -67, -44, 54, -99, 29]]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",49.25478478260869,"[0.21, 0.24, 0.34, 0.21]",MZ5kL7S4XKsejPV,,75.0,0.7390202702702703,0.7427843803056027
0.0,0.0,0.247,0.092,0.6609999999999999,0.0,0.3,0.04085101284958429,0.1629460770975057,2.0,3.91,35.95,"[35.95000000000043, 35.94999999999994, 35.949999999999946, 0.0, 0.0, 0.0]",0.5462445234136081,"[0.5462445234136141, 0.5462445234136062, 0.5462445234136074, 0.0, 0.0, 0.0]","[[39, 28, 25, 52, 51, 55], [10, 47, 10, 115, 12, -31], [-65, 42, 16, 22, -48, 56], [-85, -100, -117, -59, -32, -132]]",28.129999999999992,"[26.857715582451164, 33.09170040485817, 23.950000000000017, 0.0, 0.0, 0.0]",0.4274230443289233,"[0.4080912391742457, 0.502813911449173, 0.36390977290002585, 0.0, 0.0, 0.0]",65.81301680672267,"[0.17, 0.4, 0.08, 0.35]",rC6A983oAX58ZHg,-0.8703923900118906,75.0,0.7390202702702703,0.7427843803056027
