sigma,alpha,cost,rand,wadd,ttb,sat_ttb,unknown
75,0.10000000000000002,0,0.10319148936170212,0.19148936170212766,0.14148936170212767,0.10638297872340426,0.4574468085106383
75,0.10000000000000002,1,0.12551020408163266,0.0,0.36428571428571427,0.1673469387755102,0.34285714285714286
75,0.10000000000000002,2,0.11041666666666666,0.0,0.23958333333333334,0.3302083333333333,0.31979166666666664
75,0.10000000000000002,4,0.14479166666666668,0.0,0.13020833333333334,0.321875,0.403125
75,0.10000000000000002,8,0.1956521739130435,0.0010869565217391304,0.075,0.45217391304347826,0.27608695652173915
75,0.31622776601683805,0,0.1,0.21979166666666666,0.0625,0.090625,0.5270833333333333
75,0.31622776601683805,1,0.14895833333333333,0.008333333333333333,0.16770833333333332,0.153125,0.521875
75,0.31622776601683805,2,0.14333333333333334,0.0,0.11333333333333333,0.22666666666666666,0.5166666666666667
75,0.31622776601683805,4,0.17959183673469387,0.0,0.14591836734693878,0.2785714285714286,0.39591836734693875
75,0.31622776601683805,8,0.24479166666666666,0.0,0.125,0.2916666666666667,0.3385416666666667
75,1.0000000000000004,0,0.025,0.19895833333333332,0.06875,0.09895833333333333,0.6083333333333333
75,1.0000000000000004,1,0.09891304347826087,0.007608695652173913,0.1793478260869565,0.1793478260869565,0.5347826086956522
75,1.0000000000000004,2,0.18229166666666666,0.0,0.11145833333333334,0.18333333333333332,0.5229166666666667
75,1.0000000000000004,4,0.16195652173913044,0.0010869565217391304,0.08586956521739131,0.32065217391304346,0.43043478260869567
75,1.0000000000000004,8,0.28804347826086957,0.0010869565217391304,0.058695652173913045,0.3293478260869565,0.32282608695652176
75,3.1622776601683813,0,0.03804347826086957,0.24456521739130435,0.05652173913043478,0.10108695652173913,0.5597826086956522
75,3.1622776601683813,1,0.22608695652173913,0.007608695652173913,0.1391304347826087,0.1793478260869565,0.44782608695652176
75,3.1622776601683813,2,0.23125,0.0010416666666666667,0.09375,0.196875,0.47708333333333336
75,3.1622776601683813,4,0.2836734693877551,0.0,0.053061224489795916,0.33163265306122447,0.33163265306122447
75,3.1622776601683813,8,0.3346938775510204,0.0,0.05,0.28469387755102044,0.3306122448979592
75,10.000000000000009,0,0.09130434782608696,0.4434782608695652,0.030434782608695653,0.03369565217391304,0.40108695652173915
75,10.000000000000009,1,0.19111111111111112,0.0077777777777777776,0.08,0.1388888888888889,0.5822222222222222
75,10.000000000000009,2,0.325,0.00625,0.06041666666666667,0.209375,0.39895833333333336
75,10.000000000000009,4,0.36914893617021277,0.0,0.06170212765957447,0.23297872340425532,0.33617021276595743
75,10.000000000000009,8,0.45340909090909093,0.0011363636363636363,0.023863636363636365,0.19318181818181818,0.32840909090909093
150,0.10000000000000002,0,0.08229166666666667,0.04895833333333333,0.2552083333333333,0.08854166666666667,0.525
150,0.10000000000000002,1,0.10319148936170212,0.0031914893617021275,0.24148936170212765,0.22127659574468084,0.4308510638297872
150,0.10000000000000002,2,0.14222222222222222,0.0022222222222222222,0.2577777777777778,0.21666666666666667,0.3811111111111111
150,0.10000000000000002,4,0.15625,0.003125,0.19895833333333332,0.26145833333333335,0.3802083333333333
150,0.10000000000000002,8,0.10612244897959183,0.0020408163265306124,0.19693877551020408,0.3295918367346939,0.3653061224489796
150,0.31622776601683805,0,0.08936170212765958,0.22021276595744682,0.07340425531914893,0.06489361702127659,0.5521276595744681
150,0.31622776601683805,1,0.046875,0.010416666666666666,0.14895833333333333,0.17604166666666668,0.6177083333333333
150,0.31622776601683805,2,0.10612244897959183,0.0,0.17551020408163265,0.16326530612244897,0.5551020408163265
150,0.31622776601683805,4,0.134375,0.0,0.13854166666666667,0.26875,0.4583333333333333
150,0.31622776601683805,8,0.2,0.0,0.08404255319148936,0.2648936170212766,0.451063829787234
150,1.0000000000000004,0,0.071875,0.22291666666666668,0.08333333333333333,0.09375,0.528125
150,1.0000000000000004,1,0.19042553191489361,0.00425531914893617,0.12446808510638298,0.1202127659574468,0.5606382978723404
150,1.0000000000000004,2,0.23020833333333332,0.0010416666666666667,0.11354166666666667,0.17395833333333333,0.48125
150,1.0000000000000004,4,0.30106382978723406,0.002127659574468085,0.06063829787234042,0.18085106382978725,0.4553191489361702
150,1.0000000000000004,8,0.23617021276595745,0.018085106382978722,0.0925531914893617,0.3074468085106383,0.34574468085106386
150,3.1622776601683813,0,0.07604166666666666,0.31875,0.07916666666666666,0.05416666666666667,0.471875
150,3.1622776601683813,1,0.09270833333333334,0.008333333333333333,0.06458333333333334,0.14791666666666667,0.6864583333333333
150,3.1622776601683813,2,0.196875,0.007291666666666667,0.128125,0.13020833333333334,0.5375
150,3.1622776601683813,4,0.1875,0.0,0.10729166666666666,0.21041666666666667,0.4947916666666667
150,3.1622776601683813,8,0.30869565217391304,0.0010869565217391304,0.07065217391304347,0.28043478260869564,0.3391304347826087
150,10.000000000000009,0,0.08936170212765958,0.38085106382978723,0.045744680851063826,0.019148936170212766,0.4648936170212766
150,10.000000000000009,1,0.19583333333333333,0.019791666666666666,0.084375,0.13020833333333334,0.5697916666666667
150,10.000000000000009,2,0.27448979591836736,0.01020408163265306,0.14387755102040817,0.08571428571428572,0.4857142857142857
150,10.000000000000009,4,0.24895833333333334,0.009375,0.029166666666666667,0.15208333333333332,0.5604166666666667
150,10.000000000000009,8,0.2680851063829787,0.0010638297872340426,0.045744680851063826,0.21914893617021278,0.46595744680851064
