pid,time_elapsed,trial_type,rt,payoff_matrix,cost,click_cost,choice_index,clicks,payoff_value,probabilities,net_payoff,payoff_index,click_times,answers,correct,block,trial_index
12,248335,mouselab,5912.0,"[[67, -98, -97, 161, -176, -362], [36, 98, -192, -33, 116, -132], [-169, -131, -190, 19, -77, -149], [256, -5, 176, -110, 110, -95]]",2,6,0,"[20, 22, 18]",256,"[0.05, 0.05, 0.05, 0.85]",250,3,"[1978, 3834, 4758]",,,test,1
12,256064,mouselab,5612.0,"[[-76, -41, 21, -110, 285, -84], [93, -70, 184, -68, -66, 40], [121, -92, -193, -298, -136, 258], [-93, -74, -206, -71, 12, 140]]",2,6,4,"[20, 14, 22]",-136,"[0.03, 0.1, 0.38, 0.49]",-142,2,"[1778, 3472, 4258]",,,test,2
12,267557,mouselab,7159.0,"[[177, -124, -143, -21, 183, -91], [94, 31, -32, 89, -81, -22], [103, -203, 40, 35, 97, -130], [35, 41, -70, 44, -94, -125]]",2,6,0,"[8, 10, 6]",94,"[0.06, 0.61, 0.29, 0.04]",88,1,"[1939, 2879, 6197]",,,test,3
12,279511,mouselab,9168.0,"[[-149, -416, -107, 23, -25, 272], [-188, -22, -159, 68, 1, -385], [-71, -58, -93, 23, -163, -61], [124, -3, 226, -389, -65, -145]]",2,10,3,"[13, 17, 12, 1, 15]",23,"[0.32, 0.04, 0.57, 0.07]",13,2,"[1856, 2840, 4318, 6836, 8406]",,,test,4
12,288033,mouselab,5606.0,"[[7, -186, 84, -238, -15, 84], [16, 118, 52, 14, -28, 93], [-153, 311, -66, -170, 108, 21], [-80, 94, -143, 9, -199, 152]]",2,6,5,"[21, 18, 23]",84,"[0.25, 0.19, 0.07, 0.49]",78,0,"[2488, 3512, 4528]",,,test,5
12,297765,mouselab,7421.0,"[[59, 48, 41, -56, 128, -145], [13, -125, -19, 221, -110, 269], [68, 84, 124, -241, -195, -121], [211, 1, 142, 128, -83, 23]]",2,8,3,"[9, 3, 10, 4]",-56,"[0.31, 0.56, 0.12, 0.01]",-64,0,"[2125, 3063, 4835, 5735]",,,test,6
12,309335,mouselab,8822.0,"[[53, 32, -125, -164, -180, 194], [-61, -92, -83, -37, -141, 68], [-96, 241, 216, -126, 171, -207], [-201, 44, 208, -163, -42, 6]]",2,10,2,"[20, 8, 21, 10, 18]",208,"[0.05000000000000001, 0.32, 0.02, 0.61]",198,3,"[1948, 2864, 3902, 4858, 7522]",,,test,7
12,316565,mouselab,5012.0,"[[-50, 21, -25, 70, 10, 466], [237, -120, -58, 52, -172, 29], [125, 111, 23, -101, 8, 235], [105, -89, -166, 148, -239, -179]]",2,8,1,"[15, 3, 1, 13]",21,"[0.42, 0.15, 0.42, 0.01]",13,0,"[2010, 2648, 3250, 3803]",,,test,8
12,325541,mouselab,7506.0,"[[-97, -321, -93, -97, -10, 281], [-22, 21, -179, 121, 6, -480], [61, -90, 123, 105, -7, 6], [-133, 30, 71, -109, -237, 201]]",2,10,3,"[8, 11, 6, 7, 9]",121,"[0.06000000000000011, 0.6, 0.25, 0.09]",111,1,"[2140, 2972, 3925, 4556, 6558]",,,test,9
17,150230,mouselab,129271.0,"[[-11, -129, 254, 117, -124, 72], [37, 169, -150, -117, -39, -203], [151, 26, 107, 39, 148, -66], [-37, 167, 127, -44, -102, 37]]",2,0,0,[],37,"[0.2, 0.2, 0.1, 0.5]",37,1,[],,,instruct1,0
17,164670,mouselab,4096.0,"[[-11, -129, 254, 117, -124, 72], [37, 169, -150, -117, -39, -203], [151, 26, 107, 39, 148, -66], [-37, 167, 127, -44, -102, 37]]",2,0,1,[],167,"[0.2, 0.2, 0.1, 0.5]",167,3,[],,,instruct1,1
17,173558,mouselab,2425.0,"[[-11, -129, 254, 117, -124, 72], [37, 169, -150, -117, -39, -203], [151, 26, 107, 39, 148, -66], [-37, 167, 127, -44, -102, 37]]",2,0,2,[],127,"[0.2, 0.2, 0.1, 0.5]",127,3,[],,,instruct1,2
17,344046,mouselab,34368.0,"[[55, 36, 141, 180, -3, 215], [148, -22, 78, 2, -184, 178], [78, 60, -179, 36, 128, 143], [103, 164, 17, 268, 40, 331]]",2,0,0,[],103,"[0.24, 0.26, 0.14, 0.36]",103,3,[],,,instruct2,0
17,364438,mouselab,12216.0,"[[160, -69, -48, 11, 140, -231], [232, -157, 166, 9, -135, 147], [346, 288, -351, -4, 135, -30], [184, 164, 81, 72, -155, -74]]",2,0,0,[],184,"[0.23, 0.2, 0.2, 0.37]",184,3,[],,,instruct2,1
17,373862,mouselab,6712.0,"[[253, 34, -131, -85, -181, 213], [187, -203, 31, 75, -61, 161], [97, 62, -198, -65, -14, -76], [338, -74, -191, -93, -16, 280]]",2,0,0,[],97,"[0.22, 0.33, 0.25, 0.2]",97,2,[],,,instruct2,2
17,408750,mouselab,23640.0,"[[-123, 46, -42, 27, -173, 111], [124, 119, -193, 16, 85, -96], [-55, -26, -261, -66, -7, -22], [-107, -105, 117, -25, -264, -176]]",2,6,5,"[0, 8, 21]",-22,"[0.13, 0.32, 0.3, 0.25]",-28,2,"[12504, 14488, 17736]",,,instruct3,0
17,437862,mouselab,23929.0,"[[50, -296, -10, -89, 60, 86], [20, 1, 60, -138, -284, 207], [-112, 183, 28, 4, 40, -7], [221, -6, 210, 64, -48, -14]]",2,8,0,"[0, 6, 12, 18]",-112,"[0.3, 0.3, 0.25, 0.15]",-120,2,"[14152, 15696, 16720, 18528]",,,instruct3,1
17,466894,mouselab,22401.0,"[[-348, 178, 112, 95, 11, 153], [-288, -182, 69, -12, 85, 128], [24, 86, 188, 53, -47, 144], [12, -157, 76, 72, -57, -88]]",2,14,2,"[1, 13, 7, 14, 8, 2, 20]",188,"[0.31, 0.34, 0.21, 0.14]",174,2,"[4928, 8440, 10824, 12600, 15497, 17832, 19609]",,,instruct3,2
17,502822,mouselab,21417.0,"[[20, 113, -129, 104, 225, -349], [-74, 37, -66, -161, 229, 35], [145, -230, -80, -132, -184, -78], [-159, -2, 261, -179, 166, -53]]",2,18,4,"[0, 6, 7, 13, 8, 4, 10, 16, 22]",166,"[0.26, 0.19, 0.21, 0.34]",148,3,"[4520, 5512, 7344, 8608, 10968, 13048, 14328, 15536, 16720]",,,test,0
17,527854,mouselab,21489.0,"[[-9, 95, -245, -79, 17, 41], [234, 215, 100, -68, 56, 287], [-77, -125, -1, -114, -117, 232], [-28, 5, 132, 53, 27, 366]]",2,24,5,"[0, 6, 12, 18, 2, 9, 4, 16, 5, 11, 17, 23]",41,"[0.22, 0.24, 0.21, 0.33]",17,0,"[2752, 4352, 5856, 6888, 8656, 10568, 12064, 13680, 15224, 16088, 17920, 18912]",,,test,1
17,544214,mouselab,14072.0,"[[-182, -73, -111, 49, 58, -95], [-135, -218, -10, -1, -213, -83], [-160, -104, 212, 100, -40, -355], [358, -28, -113, 130, 324, 2]]",2,18,3,"[0, 2, 4, 10, 5, 3, 9, 15, 21]",130,"[0.32, 0.2, 0.27, 0.21]",112,3,"[1672, 3208, 5008, 6400, 7824, 9224, 10136, 11248, 12112]",,,test,2
17,550486,mouselab,1256.0,"[[224, 18, -50, 193, 101, -101], [218, -93, -131, -23, -160, 194], [40, -170, 93, 230, 380, 14], [85, 3, 215, 153, 55, -131]]",2,0,0,[],85,"[0.17, 0.22, 0.29, 0.32]",85,3,[],,,test,3
17,565070,mouselab,12657.0,"[[-177, -66, -125, -31, 44, -192], [53, 188, -95, 118, 26, -264], [159, -134, 153, 88, -22, -261], [-334, 133, 120, 109, 91, -20]]",2,14,4,"[0, 1, 2, 4, 10, 16, 22]",91,"[0.37, 0.22, 0.16, 0.25]",77,3,"[2296, 3496, 4856, 6648, 7512, 9208, 10288]",,,test,4
17,575014,mouselab,7656.0,"[[0, 15, 35, 284, -104, -150], [86, -70, 56, -66, 172, -371], [45, 263, -25, -19, 56, -341], [-20, 35, 151, -40, -189, 95]]",2,8,0,"[0, 6, 12, 18]",86,"[0.24, 0.26, 0.23, 0.27]",78,1,"[1400, 2424, 3408, 4472]",,,test,5
