Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy,km_strategy,km_TTB,km_SAT_TTB,km_WADD,km_TTB_SAT,cluster_centers,cluster_points
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,27.779999999999994,"[0.0, 0.0, 27.779999999999692, 0.0, 0.0, 0.0]",0.3883480871201667,"[0.0, 0.0, 0.3883480871201644, 0.0, 0.0, 0.0]",3.7800000000000007,"[0.0, 0.0, 3.7800000000000793, 0.0, 0.0, 0.0]",0.05284218032088662,"[0.0, 0.0, 0.05284218032088706, 0.0, 0.0, 0.0]",71.53376293418955,nQ4KJRm5qzDmfGs,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.25,0.193,0.557,0.0,0.3,0.040144444444444455,0.1875,4.0,3.543,45.67999999999999,"[45.680000000000234, 45.68000000000016, 45.68000000000012, 0.0, 0.0, 0.0]",0.6385795759412966,"[0.6385795759413012, 0.6385795759412937, 0.6385795759412939, 0.0, 0.0, 0.0]",31.508000000000006,"[31.065996409335927, 40.08000000000014, 21.67999999999994, 0.0, 0.0, 0.0]",0.4404633379763215,"[0.4342843873307231, 0.5602948643547968, 0.303073669142016, 0.0, 0.0, 0.0]",71.53376293418955,02RpShoPR0hc5AX,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']","['TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB']",0.2,0.8,0.0,0.0,,
0.0,0.0,0.059,0.0,0.941,0.0,0.3,0.016117018140589568,0.12949510204081632,4.0,5.153,47.09293999999998,"[47.05403825717322, 47.71338983050851, 0.0, 0.0, 0.0, 0.0]",0.6583316474393373,"[0.6577878239183728, 0.6670051717313455, 0.0, 0.0, 0.0, 0.0]",26.480940000000004,"[26.263390010626885, 29.95067796610173, 0.0, 0.0, 0.0, 0.0]",0.3701879911498887,"[0.36714677004743956, 0.41869289042792407, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,lIbaNiqegro6KIA,-0.8785666666666667,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.4,0.6,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.002834467120181407,0.1262755102040816,4.0,7.0,35.75,"[35.75, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4997640070030942,"[0.4997640070030907, 0.0, 0.0, 0.0, 0.0, 0.0]",7.75,"[7.75, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10834044907060086,"[0.10834044907059932, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,IBOZgXFSkyvyiUf,-0.9413333333333332,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.125,0.0,0.875,0.0,0.3,0.034610950491307635,0.13062711734693874,4.0,3.932,70.68066999999998,"[75.05648000000096, 40.0500000000001, 0.0, 0.0, 0.0, 0.0]",0.9880742617304448,"[1.0492455159817546, 0.5598754819712984, 0.0, 0.0, 0.0, 0.0]",54.95267000000001,"[58.352480000000554, 31.154000000000067, 0.0, 0.0, 0.0, 0.0]",0.7682060574746498,"[0.815733404849448, 0.4355146258510313, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,VHZfp8VcgwqWdru,-0.8424090757424091,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']",0.0,0.9,0.0,0.1,,
0.0,0.0,0.09,0.0,0.91,0.0,0.3,0.01545542705971278,0.14278766439909302,4.0,4.846,33.09249999999999,"[33.55061538461491, 28.46044444444445, 0.0, 0.0, 0.0, 0.0]",0.4626137175314657,"[0.46901790159538914, 0.3978603008851611, 0.0, 0.0, 0.0, 0.0]",13.708499999999988,"[13.928637362637405, 11.482666666666642, 0.0, 0.0, 0.0, 0.0]",0.1916367801399136,"[0.19471417120125006, 0.16052093718641125, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,12Smwv1zSNyuuxE,-0.8605333333333333,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB']",0.4,0.6,0.0,0.0,,
0.0,0.0,0.838,0.162,0.0,0.0,0.3,0.03846111111111111,0.1875,4.0,3.549,79.61999999999998,"[0.0, 79.62000000000104, 79.62000000000023, 0.0, 0.0, 0.0]",1.1130408458066117,"[0.0, 1.1130408458066088, 1.1130408458066092, 0.0, 0.0, 0.0]",65.42399999999999,"[0.0, 67.31928400954745, 55.61999999999999, 0.0, 0.0, 0.0]",0.9145891019348376,"[0.0, 0.9410840594458892, 0.7775349390073352, 0.0, 0.0, 0.0]",71.53376293418955,rVjVpCboG0KJwv1,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB', 'SAT_TTB', 'TTB']",0.5,0.5,0.0,0.0,,
0.0,0.0,0.503,0.0,0.4970000000000001,0.0,0.3,0.07606629629629631,0.15410972222222222,4.0,2.49,63.855909999999994,"[56.00925553319924, 71.60896620278335, 0.0, 0.0, 0.0, 0.0]",0.8926681245434676,"[0.7829765027841034, 1.0010512975343173, 0.0, 0.0, 0.0, 0.0]",53.89590999999999,"[41.82012072434608, 65.82765407554663, 0.0, 0.0, 0.0, 0.0]",0.7534331732217662,"[0.5846207302532124, 0.9202319488785697, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,YwmSZ9XOPRdJfbN,-0.8594691168963757,75.0,"['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.652,0.0,0.348,0.0,0.3,0.06897500000000001,0.1875,4.0,2.335,90.31864000000002,"[119.58000000000104, 74.7006134969331, 0.0, 0.0, 0.0, 0.0]",1.2626015505865726,"[1.671658180627408, 1.044270711239619, 0.0, 0.0, 0.0, 0.0]",80.97864000000001,"[107.62597701149521, 66.75582822085926, 0.0, 0.0, 0.0, 0.0]",1.132033835190519,"[1.5045479588499933, 0.9332072783906741, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,WdVOkNPSiCkiKDf,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.1,0.9,0.0,0.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,23.27,"[0.0, 0.0, 23.270000000000355, 0.0, 0.0, 0.0]",0.3253009354674687,"[0.0, 0.0, 0.32530093546747, 0.0, 0.0, 0.0]",-0.7300000000000004,"[0.0, 0.0, -0.7300000000000105, 0.0, 0.0, 0.0]",-0.010204971331811443,"[0.0, 0.0, -0.01020497133181134, 0.0, 0.0, 0.0]",71.53376293418955,EDYV3TvmyqJrQOZ,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
