problem_id,display_ev,pid,sigma,alpha,cost,probabilities,payoff_matrix,choice,best_choice,bad_choice,nr_clicks,payoff_gross,payoff_net,payoff_gross_relative,payoff_net_relative,payoff_perfect,payoff_gross_relative_bestBet,payoff_net_relative_bestBet,payoff_gross_bestBet,payoff_net_bestBet,processing_pattern,click_var_gamble,click_var_outcome,strategy,Rand,WADD,TTB,SAT_TTB,TTB_SAT,Other,payoff_gross_relative_by_strategy,payoff_net_relative_by_strategy,payoff_gross_by_strategy,payoff_net_by_strategy,under_performance,km_strategy,km_TTB_SAT,km_TTB,km_SAT_TTB,km_WADD,cluster_centers,cluster_points
nQ4KJRm5qzDmfGs,True,59,75,0.3,1,"[0.38, 0.05, 0.02, 0.55]","[[13, 44, -5, 28, -6, -76], [-40, 25, 9, -196, 123, -17], [-133, 45, -113, -55, 31, -16], [50, -67, -24, -11, -31, -43]]",0,0,False,6,27.780000000000005,21.780000000000005,1.0,0.7840172786177106,27.780000000000005,1.0,0.7840172786177106,27.780000000000005,21.780000000000005,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.78401728 0.         0.         0.        ],[ 0.    0.   27.78  0.    0.    0.  ],[ 0.    0.   21.78  0.    0.    0.  ],,TTB,False,True,False,False,,
02RpShoPR0hc5AX,True,59,75,0.3,1,"[0.02, 0.47, 0.14, 0.37]","[[-69, 20, -39, -17, -12, -39], [-84, 32, 105, 26, 11, 10], [55, 72, -55, -6, -46, 98], [-48, 65, 13, 95, 7, -61]]",2,2,False,4,45.67999999999999,41.67999999999999,0.9215251159975792,0.8408311478716965,49.56999999999999,0.9215251159975792,0.8408311478716965,45.67999999999999,41.67999999999999,-0.3333333333333333,0.03472222222222223,0.09375,TTB_SAT,False,False,False,False,True,False,[0.92152512 0.         0.         0.         0.         0.        ],[0.84083115 0.         0.         0.         0.         0.        ],[45.68  0.    0.    0.    0.    0.  ],[41.68  0.    0.    0.    0.    0.  ],,SAT_TTB,False,False,True,False,,
lIbaNiqegro6KIA,True,59,75,0.3,1,"[0.04, 0.29, 0.65, 0.02]","[[140, 81, 49, 185, 81, -77], [52, 14, -168, 7, -3, 51], [-119, 61, -183, 64, -31, 6], [49, -53, -44, -94, 23, -90]]",1,1,False,7,45.89,38.89,0.9336724313326552,0.7912512716174975,49.15,0.9336724313326552,0.7912512716174975,45.89,38.89,-1.0,0.002834467120181407,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[0.93367243 0.         0.         0.         0.         0.        ],[0.79125127 0.         0.         0.         0.         0.        ],[45.89  0.    0.    0.    0.    0.  ],[38.89  0.    0.    0.    0.    0.  ],,TTB,False,True,False,False,,
IBOZgXFSkyvyiUf,True,59,75,0.3,1,"[0.37, 0.44, 0.17, 0.02]","[[15, -30, 29, -47, -45, -53], [-99, -104, 26, 20, -32, -84], [159, -28, 100, -106, 63, 32], [61, -31, -171, -16, -79, -55]]",2,2,False,7,35.75,28.75,1.0,0.8041958041958042,35.75,1.0,0.8041958041958042,35.75,28.75,-1.0,0.002834467120181405,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[1. 0. 0. 0. 0. 0.],[0.8041958 0.        0.        0.        0.        0.       ],[35.75  0.    0.    0.    0.    0.  ],[28.75  0.    0.    0.    0.    0.  ],,TTB,False,True,False,False,,
VHZfp8VcgwqWdru,True,59,75,0.3,1,"[0.01999999999999999, 0.01, 0.47, 0.5]","[[-90, 14, -114, -41, 210, 42], [-91, 101, 22, 57, 105, 86], [94, -30, 150, -10, -154, 52], [-78, -66, 54, 90, -24, 34]]",2,2,False,9,95.44,86.44,1.0,0.9056999161777032,95.44,1.0,0.9056999161777032,95.44,86.44,0.0,0.00308641975308642,0.07638888888888888,TTB_SAT,False,False,False,False,True,False,[1. 0. 0. 0. 0. 0.],[0.90569992 0.         0.         0.         0.         0.        ],[95.44  0.    0.    0.    0.    0.  ],[86.44  0.    0.    0.    0.    0.  ],,TTB_SAT,True,False,False,False,,
12Smwv1zSNyuuxE,True,59,75,0.3,1,"[0.010000000000000111, 0.58, 0.06, 0.35]","[[-120, 22, -32, -105, -105, 26], [-6, -42, -123, 68, 59, -90], [87, -117, 56, -95, 34, -15], [-72, 54, 86, 15, -103, -66]]",3,3,False,6,37.939999999999976,31.93999999999999,1.0,0.8418555614127571,37.939999999999976,1.0,0.8418555614127571,37.939999999999976,31.93999999999999,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.84185556 0.         0.         0.        ],[ 0.    0.   37.94  0.    0.    0.  ],[ 0.    0.   31.94  0.    0.    0.  ],,TTB,False,True,False,False,,
rVjVpCboG0KJwv1,True,59,75,0.3,1,"[0.09, 0.1, 0.61, 0.2]","[[10, -11, 78, -20, 94, 69], [-36, -45, 82, -86, -100, 31], [-48, -38, -84, 6, 116, -74], [114, 25, -50, -68, 52, 53]]",4,4,False,6,79.62,73.62,1.0,0.9246420497362472,79.62,1.0,0.9246420497362472,79.62,73.62,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.92464205 0.         0.         0.        ],[ 0.    0.   79.62  0.    0.    0.  ],[ 0.    0.   73.62  0.    0.    0.  ],,TTB,False,True,False,False,,
YwmSZ9XOPRdJfbN,True,59,75,0.3,1,"[0.19, 0.01, 0.45, 0.35]","[[-78, 47, -34, 184, -97, -79], [-99, 36, -76, 99, -22, 31], [-87, 88, 57, 26, 142, 59], [88, -44, 138, 16, 128, 71]]",4,4,False,8,90.05,82.05,1.0,0.9111604664075512,90.05,1.0,0.9111604664075512,90.05,82.05,0.2,0.008680555555555556,0.0703125,TTB_SAT,False,False,False,False,True,False,[1. 0. 0. 0. 0. 0.],[0.91116047 0.         0.         0.         0.         0.        ],[90.05  0.    0.    0.    0.    0.  ],[82.05  0.    0.    0.    0.    0.  ],,TTB_SAT,True,False,False,False,,
WdVOkNPSiCkiKDf,True,59,75,0.3,1,"[0.09, 0.19, 0.08, 0.64]","[[-87, -59, 53, -49, -157, -46], [-139, 11, 115, -40, -204, -116], [-51, -61, -54, 52, 84, -15], [-101, -17, 152, -16, 48, 138]]",2,2,False,3,119.58,116.58,1.0,0.9749121926743602,119.58,1.0,0.9749121926743602,119.58,116.58,-1.0,0.02777777777777778,0.1875,SAT_TTB,False,False,False,True,False,False,[0. 1. 0. 0. 0. 0.],[0.         0.97491219 0.         0.         0.         0.        ],[  0.   119.58   0.     0.     0.     0.  ],[  0.   116.58   0.     0.     0.     0.  ],,SAT_TTB,False,False,True,False,,
EDYV3TvmyqJrQOZ,True,59,75,0.3,1,"[0.59, 0.22, 0.02, 0.17]","[[-62, -42, -7, -47, -26, -14], [-13, -71, 120, -32, 98, -95], [-68, 29, -35, -55, -23, 22], [23, 4, 10, 112, 48, -82]]",2,2,False,8,23.27,15.269999999999996,1.0,0.6562097120756338,23.27,1.0,0.6562097120756338,23.27,15.269999999999996,-0.6666666666666666,0.008680555555555558,0.0859375,TTB_SAT,False,False,False,False,True,False,[1. 0. 0. 0. 0. 0.],[0.65620971 0.         0.         0.         0.         0.        ],[23.27  0.    0.    0.    0.    0.  ],[15.27  0.    0.    0.    0.    0.  ],,TTB,False,True,False,False,,
