problem_id,display_ev,pid,sigma,alpha,cost,best_choice,bad_choice,payoff_gross_relative_bestBet,payoff_net_relative_bestBet,payoff_gross_bestBet,payoff_net_bestBet,nr_clicks,payoff_gross,payoff_net,payoff_gross_relative,payoff_net_relative,payoff_perfect,processing_pattern,click_var_gamble,click_var_outcome,strategy,Rand,WADD,TTB,SAT_TTB,TTB_SAT,Other,payoff_gross_relative_by_strategy,payoff_net_relative_by_strategy,payoff_gross_by_strategy,payoff_net_by_strategy,R_TTB_SAT,R_SAT_TTB,R_TTB,R_WADD,R_Rand,R_Other,R_sigma,R_alpha,R_cost,payoff_gross_modelDiff,payoff_net_modelDiff,payoff_gross_relative_modelDiff,payoff_net_relative_modelDiff,under_performance,km_strategy,km_SAT_TTB,km_TTB_SAT,km_Rand,km_WADD,km_TTB,cluster_centers,cluster_points
nQ4KJRm5qzDmfGs,False,180,75,0.3,4,True,False,0.3883480871201668,0.2205951337205267,27.78,15.78,3,27.78,15.78,0.3883480871201668,0.2205951337205267,71.53376293418955,-1.0,0.02777777777777778,0.1875,TTB_SAT,False,False,False,False,True,False,[0.38834809 0.         0.         0.         0.         0.        ],[0.22059513 0.         0.         0.         0.         0.        ],[27.78  0.    0.    0.    0.    0.  ],[15.78  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.105427357601002e-15,11.999999999999998,0.0,0.16775295339964008,,SAT_TTB,True,False,False,False,False,,
02RpShoPR0hc5AX,False,180,75,0.3,4,True,False,0.6385795759412964,0.4708266225416564,45.67999999999999,33.67999999999999,3,45.67999999999999,33.67999999999999,0.6385795759412964,0.4708266225416564,71.53376293418955,-1.0,0.02777777777777778,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         0.63857958 0.         0.         0.         0.        ],[0.         0.47082662 0.         0.         0.         0.        ],[ 0.   45.68  0.    0.    0.    0.  ],[ 0.   33.68  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.3703670000000088,4.1816329999999935,-0.005177513174313586,0.058456773815283136,,SAT_TTB,True,False,False,False,False,,
lIbaNiqegro6KIA,False,180,75,0.3,4,True,False,0.6870881382993591,0.4074998826332923,49.15,29.15,5,49.15,29.15,0.6870881382993591,0.4074998826332923,71.53376293418955,-1.0,0.005555555555555557,0.1875,TTB_SAT,False,False,False,False,True,False,[0.68708814 0.         0.         0.         0.         0.        ],[0.40749988 0.         0.         0.         0.         0.        ],[49.15  0.    0.    0.    0.    0.  ],[29.15  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1397059999999968,13.752906000000005,0.043891246192214066,0.1922575499439691,,TTB_SAT,False,True,False,False,False,,
IBOZgXFSkyvyiUf,False,180,75,0.3,4,True,False,-0.3764655862543589,-0.6001361907872124,-26.93,-42.93,4,-26.93,-42.93,-0.3764655862543589,-0.6001361907872124,71.53376293418955,-1.0,0.01388888888888889,0.1875,TTB_SAT,False,False,False,False,True,False,[-0.37646559 -0.         -0.         -0.         -0.         -0.        ],[-0.60013619 -0.         -0.         -0.         -0.         -0.        ],[-26.93  -0.    -0.    -0.    -0.    -0.  ],[-42.93  -0.    -0.    -0.    -0.    -0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-62.68,-47.08,-0.8762295932574532,-0.6581507538379212,,SAT_TTB,True,False,False,False,False,,
VHZfp8VcgwqWdru,False,180,75,0.3,4,True,False,1.3341951560384706,1.1664422026388306,95.44,83.44,3,95.44,83.44,1.3341951560384706,1.1664422026388306,71.53376293418955,-1.0,0.02777777777777778,0.1875,TTB_SAT,False,False,False,False,True,False,[1.33419516 0.         0.         0.         0.         0.        ],[1.1664422 0.        0.        0.        0.        0.       ],[95.44  0.    0.    0.    0.    0.  ],[83.44  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.869012999999981,21.845812999999985,0.1659218320573934,0.30539163751385423,,SAT_TTB,True,False,False,False,False,,
12Smwv1zSNyuuxE,False,180,75,0.3,4,True,False,-0.01174270673797496,-0.2354133112708284,-0.8400000000000111,-16.84000000000001,4,-0.8400000000000111,-16.84000000000001,-0.01174270673797496,-0.2354133112708284,71.53376293418955,-1.0,0.01388888888888889,0.1875,TTB_SAT,False,False,False,False,True,False,[-0.01174271 -0.         -0.         -0.         -0.         -0.        ],[-0.23541331 -0.         -0.         -0.         -0.         -0.        ],[-0.84 -0.   -0.   -0.   -0.   -0.  ],[-16.84  -0.    -0.    -0.    -0.    -0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-38.29525,-27.29885,-0.5353451073897972,-0.3816218926594803,,SAT_TTB,True,False,False,False,False,,
rVjVpCboG0KJwv1,False,180,75,0.3,4,True,False,1.113040845806612,0.8334525901405451,79.62,59.62000000000001,5,79.62,59.62000000000001,1.113040845806612,0.8334525901405451,71.53376293418955,-1.0,0.005555555555555557,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.11304085 0.         0.         0.         0.        ],[0.         0.83345259 0.         0.         0.         0.        ],[ 0.   79.62  0.    0.    0.    0.  ],[ 0.   59.62  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8421709430404014e-14,-5.888399999999982,0.0,-0.08231637423320347,,TTB_SAT,False,True,False,False,False,,
YwmSZ9XOPRdJfbN,False,180,75,0.3,4,True,False,0.9328462150298316,0.8769285638966183,66.72999999999999,62.72999999999999,1,66.72999999999999,62.72999999999999,0.9328462150298316,0.8769285638966183,71.53376293418955,,0.13888888888888892,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         0.93284622 0.         0.         0.         0.        ],[0.         0.87692856 0.         0.         0.         0.        ],[ 0.   66.73  0.    0.    0.    0.  ],[ 0.   62.73  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5888720000000092,6.5763279999999895,-0.022211497547833248,0.0919332037103956,,Rand,False,False,True,False,False,,
WdVOkNPSiCkiKDf,False,180,75,0.3,4,True,False,1.6716581806274131,1.6157405294941998,119.58,115.58,1,119.58,115.58,1.6716581806274131,1.6157405294941998,71.53376293418955,,0.13888888888888892,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.67165818 0.         0.         0.         0.        ],[0.         1.61574053 0.         0.         0.         0.        ],[  0.   119.58   0.     0.     0.     0.  ],[  0.   115.58   0.     0.     0.     0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.507648000000003,34.85884799999998,0.4124995916564149,0.4873062253424281,,Rand,False,False,True,False,False,,
EDYV3TvmyqJrQOZ,False,180,75,0.3,4,True,False,0.3253009354674687,-0.010204971331811443,23.27,-0.7300000000000004,6,23.27,-0.7300000000000004,0.3253009354674687,-0.010204971331811443,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.32530094 0.         0.         0.        ],[-0.         -0.         -0.01020497 -0.         -0.         -0.        ],[ 0.    0.   23.27  0.    0.    0.  ],[-0.   -0.   -0.73 -0.   -0.   -0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6000000000000014,0.0,0.05032588601989202,,TTB_SAT,False,True,False,False,False,,
