problem_id,display_ev,pid,sigma,alpha,cost,probabilities,payoff_matrix,choice,best_choice,bad_choice,payoff_gross_relative_bestBet,payoff_net_relative_bestBet,payoff_gross_bestBet,payoff_net_bestBet,nr_clicks,payoff_gross,payoff_net,payoff_gross_relative,payoff_net_relative,payoff_perfect,processing_pattern,click_var_gamble,click_var_outcome,strategy,Rand,WADD,TTB,SAT_TTB,TTB_SAT,Other,payoff_gross_relative_by_strategy,payoff_net_relative_by_strategy,payoff_gross_by_strategy,payoff_net_by_strategy,R_TTB_SAT,R_SAT_TTB,R_TTB,R_WADD,R_Rand,R_Other,R_sigma,R_alpha,R_cost,payoff_gross_modelDiff,payoff_net_modelDiff,payoff_gross_relative_modelDiff,payoff_net_relative_modelDiff,under_performance,under_performance_exclude,km_strategy,km_Rand,km_TTB,km_SAT_TTB,km_TTB_SAT,km_WADD,cluster_centers,cluster_points
nQ4KJRm5qzDmfGs,False,180,75,0.3,4,"[0.38, 0.05, 0.02, 0.55]","[[13, 44, -5, 28, -6, -76], [-40, 25, 9, -196, 123, -17], [-133, 45, -113, -55, 31, -16], [50, -67, -24, -11, -31, -43]]",0,0,False,0.4347281775218303,0.2469406278363745,27.78,15.78,3,27.78,15.78,0.4347281775218303,0.2469406278363745,63.902,-1.0,0.02777777777777778,0.1875,TTB_SAT,False,False,False,False,True,False,[0.43472818 0.         0.         0.         0.         0.        ],[0.24694063 0.         0.         0.         0.         0.        ],[27.78  0.    0.    0.    0.    0.  ],[15.78  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-21.79000000000002,-20.79,-0.34099089230384033,-0.3253419298300521,,,SAT_TTB,False,False,True,False,False,,
02RpShoPR0hc5AX,False,180,75,0.3,4,"[0.02, 0.47, 0.14, 0.37]","[[-69, 20, -39, -17, -12, -39], [-84, 32, 105, 26, 11, 10], [55, 72, -55, -6, -46, 98], [-48, 65, 13, 95, 7, -61]]",2,2,False,0.7148446058026352,0.5270570561171793,45.67999999999999,33.67999999999999,3,45.67999999999999,33.67999999999999,0.7148446058026352,0.5270570561171793,63.902,-1.0,0.02777777777777778,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         0.71484461 0.         0.         0.         0.        ],[0.         0.52705706 0.         0.         0.         0.        ],[ 0.   45.68  0.    0.    0.    0.  ],[ 0.   33.68  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-3.8900000000000285,-2.890000000000009,-0.060874464023035424,-0.045225501549247205,,,SAT_TTB,False,False,True,False,False,,
lIbaNiqegro6KIA,False,180,75,0.3,4,"[0.04, 0.29, 0.65, 0.02]","[[140, 81, 49, 185, 81, -77], [52, 14, -168, 7, -3, 51], [-119, 61, -183, 64, -31, 6], [49, -53, -44, -94, 23, -90]]",3,3,False,0.7691465055866795,0.4561672561109198,49.15,29.15,5,49.15,29.15,0.7691465055866795,0.4561672561109198,63.902,-1.0,0.005555555555555557,0.1875,TTB_SAT,False,False,False,False,True,False,[0.76914651 0.         0.         0.         0.         0.        ],[0.45616726 0.         0.         0.         0.         0.        ],[49.15  0.    0.    0.    0.    0.  ],[29.15  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-0.42000000000002297,-7.420000000000003,-0.006572564238991108,-0.11611530155550676,,,TTB,False,True,False,False,False,,
IBOZgXFSkyvyiUf,False,180,75,0.3,4,"[0.37, 0.44, 0.17, 0.02]","[[15, -30, 29, -47, -45, -53], [-99, -104, 26, 20, -32, -84], [159, -28, 100, -106, 63, 32], [61, -31, -171, -16, -79, -55]]",3,3,False,-0.4214265594191105,-0.6718099589997183,-26.93,-42.93,4,-26.93,-42.93,-0.4214265594191105,-0.6718099589997183,63.902,-1.0,0.01388888888888889,0.1875,TTB_SAT,False,False,False,False,True,False,[-0.42142656 -0.         -0.         -0.         -0.         -0.        ],[-0.67180996 -0.         -0.         -0.         -0.         -0.        ],[-26.93  -0.    -0.    -0.    -0.    -0.  ],[-42.93  -0.    -0.    -0.    -0.    -0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-76.50000000000003,-79.5,-1.197145629244781,-1.2440925166661447,,,SAT_TTB,False,False,True,False,False,,
VHZfp8VcgwqWdru,False,180,75,0.3,4,"[0.01999999999999999, 0.01, 0.47, 0.5]","[[-90, 14, -114, -41, 210, 42], [-91, 101, 22, 57, 105, 86], [94, -30, 150, -10, -154, 52], [-78, -66, 54, 90, -24, 34]]",2,2,False,1.4935369784983257,1.3057494288128697,95.44,83.44,3,95.44,83.44,1.4935369784983257,1.3057494288128697,63.902,-1.0,0.02777777777777778,0.1875,TTB_SAT,False,False,False,False,True,False,[1.49353698 0.         0.         0.         0.         0.        ],[1.30574943 0.         0.         0.         0.         0.        ],[95.44  0.    0.    0.    0.    0.  ],[83.44  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,45.86999999999998,46.87,0.717817908672655,0.7334668711464432,,,SAT_TTB,False,False,True,False,False,,
12Smwv1zSNyuuxE,False,180,75,0.3,4,"[0.010000000000000111, 0.58, 0.06, 0.35]","[[-120, 22, -32, -105, -105, 26], [-6, -42, -123, 68, 59, -90], [87, -117, 56, -95, 34, -15], [-72, 54, 86, 15, -103, -66]]",4,4,False,-0.013145128477982085,-0.2635285280585899,-0.8400000000000111,-16.84000000000001,4,-0.8400000000000111,-16.84000000000001,-0.013145128477982085,-0.2635285280585899,63.902,-1.0,0.01388888888888889,0.1875,TTB_SAT,False,False,False,False,True,False,[-0.01314513 -0.         -0.         -0.         -0.         -0.        ],[-0.26352853 -0.         -0.         -0.         -0.         -0.        ],[-0.84 -0.   -0.   -0.   -0.   -0.  ],[-16.84  -0.    -0.    -0.    -0.    -0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-50.41000000000003,-53.41000000000001,-0.7888641983036527,-0.8358110857250165,,,SAT_TTB,False,False,True,False,False,,
rVjVpCboG0KJwv1,False,180,75,0.3,4,"[0.09, 0.1, 0.61, 0.2]","[[10, -11, 78, -20, 94, 69], [-36, -45, 82, -86, -100, 31], [-48, -38, -84, 6, 116, -74], [114, 25, -50, -68, 52, 53]]",4,4,False,1.2459703921629997,0.9329911426872399,79.62,59.62000000000001,5,79.62,59.62000000000001,1.2459703921629997,0.9329911426872399,63.902,-1.0,0.005555555555555557,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.24597039 0.         0.         0.         0.        ],[0.         0.93299114 0.         0.         0.         0.        ],[ 0.   79.62  0.    0.    0.    0.  ],[ 0.   59.62  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,30.049999999999986,23.050000000000008,0.470251322337329,0.3607085850208135,,,TTB,False,True,False,False,False,,
YwmSZ9XOPRdJfbN,False,180,75,0.3,4,"[0.19, 0.01, 0.45, 0.35]","[[-78, 47, -34, 184, -97, -79], [-99, 36, -76, 99, -22, 31], [-87, 88, 57, 26, 142, 59], [88, -44, 138, 16, 128, 71]]",2,2,False,1.0442552658758724,0.9816594159807204,66.72999999999999,62.72999999999999,1,66.72999999999999,62.72999999999999,1.0442552658758724,0.9816594159807204,63.902,,0.13888888888888892,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.04425527 0.         0.         0.         0.        ],[0.         0.98165942 0.         0.         0.         0.        ],[ 0.   66.73  0.    0.    0.    0.  ],[ 0.   62.73  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,17.159999999999968,26.15999999999999,0.2685361960502017,0.4093768583142938,,,Rand,True,False,False,False,False,,
WdVOkNPSiCkiKDf,False,180,75,0.3,4,"[0.09, 0.19, 0.08, 0.64]","[[-87, -59, 53, -49, -157, -46], [-139, 11, 115, -40, -204, -116], [-51, -61, -54, 52, 84, -15], [-101, -17, 152, -16, 48, 138]]",2,2,False,1.871302932615568,1.808707082720416,119.58,115.58,1,119.58,115.58,1.871302932615568,1.808707082720416,63.902,,0.13888888888888892,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.87130293 0.         0.         0.         0.        ],[0.         1.80870708 0.         0.         0.         0.        ],[  0.   119.58   0.     0.     0.     0.  ],[  0.   115.58   0.     0.     0.     0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,70.00999999999998,79.00999999999998,1.095583862789897,1.2364245250539891,,,Rand,True,False,False,False,False,,
EDYV3TvmyqJrQOZ,False,180,75,0.3,4,"[0.59, 0.22, 0.02, 0.17]","[[-62, -42, -7, -47, -26, -14], [-13, -71, 120, -32, 98, -95], [-68, 29, -35, -55, -23, 22], [23, 4, 10, 112, 48, -82]]",2,2,False,0.3641513567650465,-0.011423742605865235,23.27,-0.7300000000000004,6,23.27,-0.7300000000000004,0.3641513567650465,-0.011423742605865235,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.36415136 0.         0.         0.        ],[-0.         -0.         -0.01142374 -0.         -0.         -0.        ],[ 0.    0.   23.27  0.    0.    0.  ],[-0.   -0.   -0.73 -0.   -0.   -0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-26.300000000000026,-37.3,-0.4115677130606241,-0.5837063002722918,,,TTB,False,True,False,False,False,,
