pid,time_elapsed,trial_type,probabilities,click_cost,payoff_value,payoff_matrix,choice_index,payoff_index,cost,clicks,net_payoff,block,trial_index
4,160868,mouselab,"[0.3100000000000001, 0.35, 0.18, 0.16]",6,95,"[[-75, -75, 143, 87, 181, 87], [-44, -23, 86, -21, 95, 23], [-35, 76, 223, 111, -17, 52], [250, 34, 46, -62, 109, 92]]",4,1,1,"[6, 7, 8, 10, 9, 11]",89,test,6
4,166169,mouselab,"[0.3199999999999998, 0.52, 0.03, 0.13]",6,175,"[[-82, -29, 133, 57, 171, -57], [-69, -31, 175, 57, -4, -17], [-46, 47, -84, 120, 142, 3], [-9, 90, -79, 35, -155, 17]]",2,1,1,"[6, 8, 7, 9, 10, 11]",169,test,7
4,172909,mouselab,"[0.06000000000000001, 0.45, 0.39, 0.1]",6,174,"[[10, 104, -78, -133, -2, -20], [-143, 12, 174, -87, -72, -118], [87, 76, -38, 99, -26, 182], [-82, -60, 16, 37, 77, -63]]",2,1,1,"[6, 8, 7, 9, 10, 11]",168,test,8
4,177955,mouselab,"[0.05, 0.38, 0.33, 0.24]",6,-38,"[[68, 21, 1, 167, -56, -28], [-16, 80, -190, -105, -115, 112], [61, -48, -138, -250, 167, -38], [-68, 56, 110, -56, 16, -147]]",5,2,1,"[6, 7, 8, 9, 10, 11]",-44,test,9
8,114545,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,151,"[[151, -21, 35, -56, 14, 116], [85, 106, 44, 15, -95, 178], [51, -12, 3, -86, 41, 81], [-98, 56, 84, 40, -41, 104]]",0,0,1,[],151,instruct1,0
8,144306,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,-21,"[[151, -21, 35, -56, 14, 116], [85, 106, 44, 15, -95, 178], [51, -12, 3, -86, 41, 81], [-98, 56, 84, 40, -41, 104]]",1,0,1,[],-21,instruct1,1
8,178322,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,35,"[[151, -21, 35, -56, 14, 116], [85, 106, 44, 15, -95, 178], [51, -12, 3, -86, 41, 81], [-98, 56, 84, 40, -41, 104]]",2,0,1,[],35,instruct1,2
8,207105,mouselab,"[0.04, 0.85, 0.1, 0.01]",0,98,"[[177, -258, -201, 88, -89, 13], [98, -35, 6, 93, 29, -20], [152, 145, -111, -40, 57, -11], [74, 65, -27, -53, -121, 4]]",0,1,1,[],98,instruct2,0
8,224066,mouselab,"[0.44, 0.33, 0.1, 0.13]",0,65,"[[-64, 65, -46, 0, -72, 60], [74, 137, 122, 5, -41, -8], [-42, 237, -110, -114, 230, 51], [-152, 159, -6, -23, 144, -44]]",1,0,1,[],65,instruct2,1
8,236773,mouselab,"[0.31, 0.22, 0.21, 0.26]",0,154,"[[-31, -1, 154, 149, 67, -109], [123, -201, 137, 9, 65, 46], [-35, 99, 114, 93, -150, -48], [226, -93, 233, -177, -26, 47]]",2,0,1,[],154,instruct2,2
8,250426,mouselab,"[0.07999999999999999, 0.11, 0.4, 0.41]",0,120,"[[-35, 82, 55, 97, -190, 7], [29, 65, -67, 120, 110, 20], [-141, -10, 116, 131, 36, -101], [95, 34, -48, 150, 137, 75]]",3,1,1,[],120,instruct2,3
8,261127,mouselab,"[0.15, 0.63, 0.05, 0.17]",0,169,"[[115, 139, 59, 29, 80, 66], [-58, 65, 57, -22, -28, 45], [93, 144, 36, 84, 129, 25], [155, 169, -15, -56, -36, 83]]",1,3,1,[],169,instruct2,4
8,309309,mouselab,"[0.22999999999999998, 0.08, 0.41, 0.28]",0,66,"[[62, 62, 52, 253, -65, -166], [57, -30, -5, 82, 54, 113], [93, 24, 9, -49, -40, 26], [-116, -2, 66, 29, 49, -50]]",2,3,1,[],66,instruct3,0
8,350305,mouselab,"[0.5800000000000001, 0.09, 0.19, 0.14]",4,-64,"[[126, 40, 31, -20, 93, -33], [203, -64, -35, 15, 72, 122], [145, 9, 168, 159, 42, -69], [-2, 4, 139, -65, -101, -29]]",1,1,1,"[3, 13, 1, 12]",-68,instruct3,1
8,371975,mouselab,"[0.31, 0.14, 0.01, 0.54]",6,158,"[[104, 158, 247, -192, -107, 167], [47, 23, -45, 311, 155, -187], [42, 120, 133, 78, -68, 162], [116, -32, 95, 86, 23, -104]]",1,0,1,"[6, 13, 8, 9, 16, 11]",152,instruct3,2
