Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight_con,trial_weight_exp,trial_weight
0.0,0.0,0.693,0.0,0.307,0.0,0.3,0.09029166666666667,0.1875,4.0,1.757,56.61411,"[58.88247557003246, 55.60922077922092, 0.0, 0.0, 0.0, 0.0]",0.8859520828769053,"[0.9214496505591777, 0.870226609170613, 0.0, 0.0, 0.0, 0.0]","[[-87, -59, 53, -49, -157, -46], [-139, 11, 115, -40, -204, -116], [-51, -61, -54, 52, 84, -15], [-101, -17, 152, -16, 48, 138]]",49.58611,"[48.68052117263828, 49.987287157287085, 0.0, 0.0, 0.0, 0.0]",0.7759711746111233,"[0.7617996490350598, 0.7822491808908453, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.09, 0.19, 0.08, 0.64]",WdVOkNPSiCkiKDf,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
0.0,0.0,0.691,0.0,0.309,0.0,3.2,0.06825000000000002,0.1875,4.0,2.344,52.29831999999999,"[21.27999999999996, 66.16903039073854, 0.0, 0.0, 0.0, 0.0]",1.02139171532918,"[0.41560064839950694, 1.2922881548100316, 0.0, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",42.92231999999999,"[9.215275080906189, 57.995369030391174, 0.0, 0.0, 0.0, 0.0]",0.8382774446809759,"[0.1799752959964482, 1.1326556848307778, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.565,0.0,0.435,0.0,0.3,0.06644722222222224,0.1875,4.0,2.381,84.52388999999998,"[83.31622988505704, 85.45368141592861, 0.0, 0.0, 0.0, 0.0]",1.3227111827485838,"[1.3038125549287518, 1.337261453724897, 0.0, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",74.99988999999998,"[69.97370114942491, 78.86961061946846, 0.0, 0.0, 0.0, 0.0]",1.173670464148227,"[1.0950158234394116, 1.2342275769063384, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
0.0,0.0,0.521,0.0,0.479,0.0,3.2,0.07007222222222223,0.1875,4.0,2.298,12.075380000000004,"[9.247369519832944, 14.675412667946187, 0.0, 0.0, 0.0, 0.0]",0.23583344725894975,"[0.18060210377972, 0.28661235997785994, 0.0, 0.0, 0.0, 0.0]","[[82, 45, 5, -120, -5, -22], [-3, -132, 45, 78, 5, 2], [-12, -14, 14, -43, 10, 89], [-114, 72, 25, 56, 74, 101]]",2.8833800000000043,"[-3.4206889352818455, 8.6792514395393, 0.0, 0.0, 0.0, 0.0]",0.05631271605179392,"[-0.06680641632876645, 0.16950669764543883, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.31, 0.33, 0.09, 0.27]",aIfvrznIQLqTBd0,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.37200000000000005,0.0,0.628,0.0,3.2,0.07115538548752835,0.17272925170068024,1.0,2.52,51.90123,"[47.60418789808912, 59.15537634408604, 0.0, 0.0, 0.0, 0.0]",1.0136365056734955,"[0.929714819406845, 1.1553107502311497, 0.0, 0.0, 0.0, 0.0]","[[-16, 29, 52, 15, -102, 114], [68, 33, 81, -31, 134, 13], [36, -22, 1, 47, 23, -38], [-171, -81, 65, 13, 28, -35]]",49.38123,"[44.279347133757945, 57.9940860215054, 0.0, 0.0, 0.0, 0.0]",0.9644206394156593,"[0.8647803279838672, 1.1326306275316906, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.05, 0.47, 0.28, 0.2]",KKfFP00BlY0FyTD,-0.9614197530864198,75.0,1.029126213592233,1.0303030303030303,1.0297029702970297
0.0,0.0,0.6829999999999999,0.0,0.317,0.0,3.2,0.0917777777777778,0.1875,4.0,1.736,37.79803,"[45.48728706624595, 34.22922401171309, 0.0, 0.0, 0.0, 0.0]",0.7381995195594009,"[0.888371522493725, 0.6685003615357145, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",30.854029999999998,"[35.44312302839113, 28.724099560761275, 0.0, 0.0, 0.0, 0.0]",0.6025824658711404,"[0.6922079375894201, 0.5609846993488906, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.8590000000000001,0.0,0.141,0.0,0.3,0.06998611111111111,0.1875,4.0,2.2969999999999997,76.8487,"[106.75, 71.9405704307341, 0.0, 0.0, 0.0, 0.0]",1.202602422459391,"[1.6705267440768732, 1.125795287013456, 0.0, 0.0, 0.0, 0.0]","[[26, 3, -7, -50, 62, 37], [170, -11, -37, 11, -44, 59], [-158, -3, -108, -8, -23, -72], [5, 21, 96, 148, 8, -72]]",67.66069999999999,"[93.10460992907801, 63.48422584400522, 0.0, 0.0, 0.0, 0.0]",1.058819755250227,"[1.4569905469168085, 0.993462267910318, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.03, 0.03, 0.2, 0.74]",Gq2ftjqDBmr2chN,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.009501407155454774,0.0989104109977324,1.0,7.112,27.74000000000001,"[27.740000000000542, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5417651309493585,"[0.5417651309493698, 0.0, 0.0, 0.0, 0.0, 0.0]","[[2, 30, -23, 26, 24, -26], [-77, 73, -11, 60, -57, 2], [-44, -40, -49, -44, 100, -98], [31, 24, -31, -144, -34, -8]]",20.628,"[20.628000000000178, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4028670195105756,"[0.4028670195105717, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.2, 0.3, 0.19, 0.31]",2O9UAcifjV8B4g6,-0.7868809523809523,75.0,1.029126213592233,1.0303030303030303,1.0297029702970297
0.0,0.0,0.077,0.0,0.9229999999999999,0.0,3.2,0.0136133950617284,0.12103777777777774,1.0,6.631,14.512760000000002,"[15.740985915493031, -0.2099999999999955, 0.0, 0.0, 0.0, 0.0]",0.2834357361873329,"[0.3074231180886509, -0.004101322188152954, 0.0, 0.0, 0.0, 0.0]","[[82, 45, 5, -120, -5, -22], [-3, -132, 45, 78, 5, 2], [-12, -14, 14, -43, 10, 89], [-114, 72, 25, 56, 74, 101]]",7.881760000000002,"[8.772405200433292, -2.7944155844155842, 0.0, 0.0, 0.0, 0.0]",0.1539316055699862,"[0.17132600043812657, -0.05457523161563934, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.31, 0.33, 0.09, 0.27]",aIfvrznIQLqTBd0,-0.8799087301587302,75.0,1.029126213592233,1.0303030303030303,1.0297029702970297
0.0,0.0,0.312,0.0,0.688,0.0,0.3,0.06670833333333334,0.1875,4.0,2.374,18.317319999999985,"[17.986337209302288, 19.047179487179395, 0.0, 0.0, 0.0, 0.0]",0.28664705330036605,"[0.28146751602926484, 0.29806859702637434, 0.0, 0.0, 0.0, 0.0]","[[-120, 22, -32, -105, -105, 26], [-6, -42, -123, 68, 59, -90], [87, -117, 56, -95, 34, -15], [-72, 54, 86, 15, -103, -66]]",8.821319999999988,"[5.9979651162790555, 15.047179487179442, 0.0, 0.0, 0.0, 0.0]",0.13804450564927526,"[0.09386193102374013, 0.23547274713122385, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.010000000000000111, 0.58, 0.06, 0.35]",12Smwv1zSNyuuxE,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
