Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight_con_exclude,trial_weight_exp_exclude,trial_weight_exclude
0.0,0.0,0.637,0.0,0.363,0.0,0.3,0.06894444444444446,0.1875,4.0,2.294,83.23528,"[101.35280991735615, 72.91084772370537, 0.0, 0.0, 0.0, 0.0]",1.3025457732152357,"[1.5860663190096542, 1.14097911996032, 0.0, 0.0, 0.0, 0.0]","[[-87, -59, 53, -49, -157, -46], [-139, 11, 115, -40, -204, -116], [-51, -61, -54, 52, 84, -15], [-101, -17, 152, -16, 48, 138]]",74.05928000000002,"[89.49606060606126, 65.2624960753535, 0.0, 0.0, 0.0, 0.0]",1.158950893555757,"[1.4005204939761042, 1.02129035202893, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.09, 0.19, 0.08, 0.64]",WdVOkNPSiCkiKDf,-1.0,75.0,0.96,1.0833333333333335,1.0204081632653061
0.0,0.0,0.6609999999999999,0.0,0.33899999999999997,0.0,3.2,0.06796944444444446,0.1875,4.0,2.351,50.44647999999998,"[21.27999999999994, 65.40478063540135, 0.0, 0.0, 0.0, 0.0]",0.9852250844677072,"[0.4156006483995067, 1.2773622763392944, 0.0, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",41.042479999999976,"[9.409793510324539, 57.26559757942552, 0.0, 0.0, 0.0, 0.0]",0.8015639708610824,"[0.18377426147539147, 1.118403171287322, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.3333333333333333,1.0,1.1700680272108843
0.0,0.0,0.573,0.0,0.42700000000000005,0.0,0.3,0.06713333333333334,0.1875,4.0,2.376,84.37858999999997,"[82.71866510538601, 85.61556719022627, 0.0, 0.0, 0.0, 0.0]",1.3204373885011422,"[1.2944612861160232, 1.3397947981319225, 0.0, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",74.87459,"[69.0137470725992, 79.24209424083712, 0.0, 0.0, 0.0, 0.0]",1.1717096491502612,"[1.079993538114606, 1.2400565591192367, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,0.96,1.0833333333333335,1.0204081632653061
0.0,0.0,0.513,0.0,0.48700000000000004,0.0,3.2,0.06768611111111113,0.1875,4.0,2.336,11.779940000000002,"[8.333696098562589, 15.051520467836186, 0.0, 0.0, 0.0, 0.0]",0.23006347284338816,"[0.16275796532552078, 0.29395778504846154, 0.0, 0.0, 0.0, 0.0]","[[82, 45, 5, -120, -5, -22], [-3, -132, 45, 78, 5, 2], [-12, -14, 14, -43, 10, 89], [-114, 72, 25, 56, 74, 101]]",2.435940000000004,"[-4.405523613963047, 8.930662768031139, 0.0, 0.0, 0.0, 0.0]",0.04757416557623585,"[-0.08604034165894624, 0.17441678745447026, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.31, 0.33, 0.09, 0.27]",aIfvrznIQLqTBd0,-1.0,75.0,1.3333333333333333,1.0,1.1700680272108843
0.0,0.0,0.18,0.0,0.82,0.0,3.2,0.048627811791383216,0.14209711309523812,1.0,4.043,66.07122999999999,"[65.22637804877945, 69.92000000000006, 0.0, 0.0, 0.0, 0.0]",1.2903781028455363,"[1.2738780549729425, 1.3655449875983832, 0.0, 0.0, 0.0, 0.0]","[[-16, 29, 52, 15, -102, 114], [68, 33, 81, -31, 134, 13], [36, -22, 1, 47, 23, -38], [-171, -81, 65, 13, 28, -35]]",62.02822999999998,"[60.51540243902341, 68.92000000000006, 0.0, 0.0, 0.0, 0.0]",1.2114178856707614,"[1.181872203562769, 1.346014881940507, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.05, 0.47, 0.28, 0.2]",KKfFP00BlY0FyTD,-0.8342508710801394,75.0,0.8,0.75,0.7755102040816326
0.0,0.0,0.657,0.0,0.34299999999999997,0.0,3.2,0.08906944444444444,0.1875,4.0,1.7890000000000001,38.13024000000001,"[46.354081632652914, 33.836818873668165, 0.0, 0.0, 0.0, 0.0]",0.7446876159600024,"[0.9053001119593235, 0.6608366477290061, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",30.97424,"[36.219970845480965, 28.235601217655898, 0.0, 0.0, 0.0, 0.0]",0.6049301798722732,"[0.707379857537272, 0.5514442750943487, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-1.0,75.0,1.3333333333333333,1.0,1.1700680272108843
0.0,0.0,0.835,0.0,0.165,0.0,0.3,0.0707388888888889,0.1875,4.0,2.294,77.96266999999997,"[106.75, 72.27415568862341, 0.0, 0.0, 0.0, 0.0]",1.2200348971863164,"[1.6705267440768743, 1.131015550195975, 0.0, 0.0, 0.0, 0.0]","[[26, 3, -7, -50, 62, 37], [170, -11, -37, 11, -44, 59], [-158, -3, -108, -8, -23, -72], [5, 21, 96, 148, 8, -72]]",68.78667,"[92.64090909090909, 64.07295808383286, 0.0, 0.0, 0.0, 0.0]",1.0764400175268378,"[1.4497341099012389, 1.0026753166384903, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.03, 0.03, 0.2, 0.74]",Gq2ftjqDBmr2chN,-1.0,75.0,0.96,1.0833333333333335,1.0204081632653061
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.004899096907281432,0.08706586592970521,1.0,8.015,27.74000000000001,"[27.740000000000542, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5417651309493585,"[0.5417651309493698, 0.0, 0.0, 0.0, 0.0, 0.0]","[[2, 30, -23, 26, 24, -26], [-77, 73, -11, 60, -57, 2], [-44, -40, -49, -44, 100, -98], [31, 24, -31, -144, -34, -8]]",19.725,"[19.72500000000011, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3852313341015175,"[0.38523133410151333, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.2, 0.3, 0.19, 0.31]",2O9UAcifjV8B4g6,-0.8167357142857142,75.0,0.8,0.75,0.7755102040816326
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.0025487617795310106,0.03953418803418803,1.0,12.488,24.41000000000001,"[24.409999999999872, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4767298791086461,"[0.4767298791086433, 0.0, 0.0, 0.0, 0.0, 0.0]","[[82, 45, 5, -120, -5, -22], [-3, -132, 45, 78, 5, 2], [-12, -14, 14, -43, 10, 89], [-114, 72, 25, 56, 74, 101]]",11.922,"[11.921999999999887, 0.0, 0.0, 0.0, 0.0, 0.0]",0.23283791965314546,"[0.23283791965314501, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.31, 0.33, 0.09, 0.27]",aIfvrznIQLqTBd0,-0.7599257575757576,75.0,0.8,0.75,0.7755102040816326
0.0,0.0,0.34299999999999997,0.0,0.657,0.0,0.3,0.0701861111111111,0.1875,4.0,2.302,17.735619999999987,"[18.520487062404833, 16.232244897959106, 0.0, 0.0, 0.0, 0.0]",0.27754405182936354,"[0.2898264070358459, 0.25401779127349844, 0.0, 0.0, 0.0, 0.0]","[[-120, 22, -32, -105, -105, 26], [-6, -42, -123, 68, 59, -90], [87, -117, 56, -95, 34, -15], [-72, 54, 86, 15, -103, -66]]",8.527619999999986,"[6.59354642313544, 12.232244897959168, 0.0, 0.0, 0.0, 0.0]",0.13344840537072372,"[0.10318216054482558, 0.19142194137834764, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.010000000000000111, 0.58, 0.06, 0.35]",12Smwv1zSNyuuxE,-1.0,75.0,0.96,1.0833333333333335,1.0204081632653061
