Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight_con_exclude,trial_weight_exp_exclude,trial_weight_exclude
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,1.0,6.0,91.59999999999998,"[0.0, 0.0, 91.60000000000092, 0.0, 0.0, 0.0]",1.4334449625989796,"[0.0, 0.0, 1.4334449625989703, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",85.59999999999998,"[0.0, 0.0, 85.60000000000058, 0.0, 0.0, 0.0]",1.3395511877562511,"[0.0, 0.0, 1.3395511877562603, 0.0, 0.0, 0.0]",63.90200000000002,"[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,1.2266666666666666,1.2777777777777777,1.251700680272109
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.021821723670949863,0.07665428146258503,1.0,6.296,95.44000000000004,"[95.44000000000132, 0.0, 0.0, 0.0, 0.0, 0.0]",1.4935369784983257,"[1.4935369784983046, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-90, 14, -114, -41, 210, 42], [-91, 101, 22, 57, 105, 86], [94, -30, 150, -10, -154, 52], [-78, -66, 54, 90, -24, 34]]",89.14400000000003,"[89.14400000000126, 0.0, 0.0, 0.0, 0.0, 0.0]",1.3950111107633565,"[1.395011110763348, 0.0, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.01999999999999999, 0.01, 0.47, 0.5]",VHZfp8VcgwqWdru,-0.6550809523809523,75.0,1.2266666666666666,1.2777777777777777,1.251700680272109
0.0,0.0,0.6859999999999999,0.0,0.314,0.0,0.3,0.10880555555555556,0.1875,4.0,1.403,38.392959999999995,"[40.198216560509586, 37.56664723032037, 0.0, 0.0, 0.0, 0.0]",0.6008099902976433,"[0.6290603824686181, 0.5878790527733201, 0.0, 0.0, 0.0, 0.0]","[[-101, -31, 34, -10, 30, -23], [-98, -42, -2, 84, 60, -107], [65, -46, -22, -61, -87, 97], [84, 85, 84, 93, 18, -17]]",32.78096000000001,"[31.39566878980897, 33.415043731778184, 0.0, 0.0, 0.0, 0.0]",0.5129880128947452,"[0.4913096427311966, 0.5229107654185848, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.06, 0.26, 0.14, 0.54]",3uXiz4V3sUrSmY9,-1.0,75.0,0.8799999999999999,1.0277777777777777,0.9523809523809523
0.0,0.0,0.22899999999999998,0.16699999999999998,0.604,0.0,0.3,0.019750000000000004,0.1875,4.0,3.903,68.86,"[68.86000000000044, 68.86000000000023, 68.8600000000001, 0.0, 0.0, 0.0]",1.0775875559450407,"[1.0775875559450376, 1.0775875559450367, 1.0775875559450394, 0.0, 0.0, 0.0]","[[-69, 74, -146, 18, -66, -39], [-59, 123, 55, -117, -17, -38], [32, 53, 83, 32, -9, -48], [-24, -104, 109, 21, 25, 52]]",53.24800000000001,"[54.01231788079511, 57.34908296943246, 44.85999999999991, 0.0, 0.0, 0.0]",0.8332759538042629,"[0.8452367356388576, 0.8974536472948001, 0.7020124565741273, 0.0, 0.0, 0.0]",63.90200000000002,"[0.06, 0.07, 0.81, 0.06]",si1lNmExwYp0qHd,-1.0,75.0,0.8799999999999999,1.0277777777777777,0.9523809523809523
0.0,0.0,0.027999999999999997,0.0,0.972,0.0,0.3,0.01655426965230537,0.1102155612244898,4.0,5.735,77.4,"[77.40000000000013, 77.40000000000005, 0.0, 0.0, 0.0, 0.0]",1.21122969547119,"[1.2112296954711945, 1.2112296954711896, 0.0, 0.0, 0.0, 0.0]","[[61, -42, -94, -52, -163, 53], [85, -65, -84, 88, 40, 87], [53, -6, 64, -32, 83, -117], [101, 67, 39, -108, -29, 8]]",54.459999999999994,"[54.37530864197623, 57.40000000000003, 0.0, 0.0, 0.0, 0.0]",0.8522424963224939,"[0.8509171644389224, 0.8982504459954301, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.51, 0.17, 0.01, 0.31]",55wGWrG0AsulSFG,-0.8272999999999999,75.0,0.8799999999999999,1.0277777777777777,0.9523809523809523
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.010659603023239386,0.016039390679250826,1.0,12.988,52.05523999999999,"[52.055239999999245, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0166443372458644,"[1.0166443372458769, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",39.06723999999999,"[39.06723999999985, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7629873249614281,"[0.7629873249614172, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-0.5954293650793651,75.0,1.0666666666666667,1.0277777777777777,1.0476190476190477
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.0030791975308641986,0.08290388888888887,1.0,8.736,40.94000000000001,"[40.940000000000005, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7995625256332636,"[0.7995625256332823, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-85, 44, -96, -82, -36, 62], [-103, 20, 12, 8, 1, -43], [41, -70, 89, 62, 54, 43], [19, -133, -24, 127, 45, 36]]",32.20399999999999,"[32.20399999999944, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6289475226060972,"[0.62894752260609, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.14, 0.45, 0.05, 0.36]",l6dGWbHa5ETDOcj,-0.9529325396825398,75.0,1.0666666666666667,1.0277777777777777,1.0476190476190477
0.0,0.0,0.84,0.16,0.0,0.0,3.2,0.04045,0.1875,1.0,3.4730000000000003,79.15,"[0.0, 79.15000000000092, 79.14999999999978, 0.0, 0.0, 0.0]",1.5458078628205385,"[0.0, 1.5458078628205383, 1.5458078628205383, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",75.67699999999999,"[0.0, 76.15833333333434, 73.14999999999978, 0.0, 0.0, 0.0]",1.4779798058707498,"[0.0, 1.4873802967274143, 1.4286272288733037, 0.0, 0.0, 0.0]",51.20299999999999,"[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.0666666666666667,1.0277777777777777,1.0476190476190477
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0030514691987906274,0.10665284863945576,1.0,7.711,23.27,"[23.270000000000355, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3641513567650465,"[0.3641513567650397, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-62, -42, -7, -47, -26, -14], [-13, -71, 120, -32, 98, -95], [-68, 29, -35, -55, -23, 22], [23, 4, 10, 112, 48, -82]]",15.559000000000005,"[15.559000000000317, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2434822071296673,"[0.24348220712966775, 0.0, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.59, 0.22, 0.02, 0.17]",EDYV3TvmyqJrQOZ,-0.9446071428571428,75.0,1.2266666666666666,1.2777777777777777,1.251700680272109
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.019402616108171664,0.04488236426051902,1.0,8.208,56.45000000000002,"[56.44999999999908, 0.0, 0.0, 0.0, 0.0, 0.0]",1.102474464386852,"[1.102474464386867, 0.0, 0.0, 0.0, 0.0, 0.0]","[[7, -95, 8, -33, 43, -148], [36, -62, 14, 74, 0, 49], [-64, -38, 68, 51, -33, -99], [-18, -90, 7, 63, -23, -100]]",48.242,"[48.241999999999415, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9421713571470424,"[0.9421713571470406, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.06, 0.31, 0.35, 0.28]",U6NalRd3JS7aHgM,-0.6801365079365079,75.0,1.0666666666666667,1.0277777777777777,1.0476190476190477
