Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight_exclude,trial_weight_exclude_75
0.0,0.0,0.193,0.183,0.624,0.0,1.0,0.039988888888888886,0.1875,2.0,3.543,87.11999999999998,"[87.12000000000083, 87.12000000000032, 87.12000000000035, 0.0, 0.0, 0.0]",1.5257236400393033,"[1.525723640039329, 1.5257236400393028, 1.5257236400393028, 0.0, 0.0, 0.0]","[[-63, 78, -96, 57, -9, -3], [-20, 56, 144, 10, 157, -55], [52, 28, -26, -39, -71, 9], [-142, 37, -33, 119, -31, -20]]",80.03399999999998,"[79.97576923076991, 84.88165803108843, 75.12000000000026, 0.0, 0.0, 0.0]",1.4016272475540132,"[1.4006074580545536, 1.486523786315, 1.3155688686840321, 0.0, 0.0, 0.0]",57.10077350427351,"[0.07999999999999999, 0.16, 0.06, 0.7]",UcRP52ek7voCWO5,-1.0,75.0,0.506484295845998,0.5168562564632885
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.003138676303854876,0.11076084183673468,0.0,7.477,45.51,"[45.510000000000055, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7970119703648842,"[0.7970119703648975, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-143, -23, -40, 157, -15, -67], [-132, -148, 57, -29, -121, -88], [-14, 52, -12, 39, 136, -170], [12, -39, -66, 42, 41, -5]]",45.51,"[45.510000000000055, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7970119703648842,"[0.7970119703648975, 0.0, 0.0, 0.0, 0.0, 0.0]",57.10077350427351,"[0.16, 0.04, 0.21, 0.59]",4qk0EiRGfCBS6CA,-0.9423333333333332,75.0,1.1395896656534954,1.162926577042399
0.43799999999999994,0.0,0.0,0.0,0.562,0.0,1.0,0.018333829417569496,0.06832475977891156,1.0,7.037000000000001,61.39171999999999,"[63.16377224199264, 0.0, 0.0, 0.0, 0.0, 59.117990867580275]",1.0751469066422603,"[1.1061806761210586, 0.0, 0.0, 0.0, 0.0, 1.03532732114663]","[[121, -57, 14, -98, 74, -55], [-6, 67, 112, -10, -78, -70], [81, -151, 71, -66, -88, 65], [27, 75, 56, -41, 21, 61]]",54.35471999999999,"[55.80612099644109, 0.0, 0.0, 0.0, 0.0, 52.49242009132445]",0.9519086461400041,"[0.9773268831859975, 0.0, 0.0, 0.0, 0.0, 0.9192943785147766]",57.10077350427351,"[0.26, 0.26, 0.3, 0.18]",3x7m0l3mT5kiw5F,-0.5682952380952381,75.0,1.1395896656534954,1.162926577042399
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.003138038548752835,0.11079336734693876,0.0,7.476,118.08999999999996,"[118.08999999999752, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0218682782885435,"[1.0218682782885655, 0.0, 0.0, 0.0, 0.0, 0.0]","[[23, -33, 74, -71, 412, 94], [77, 17, -50, -5, -82, 100], [-104, -179, 13, 161, -65, -5], [-149, -266, 213, 83, -94, -48]]",118.08999999999996,"[118.08999999999752, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0218682782885435,"[1.0218682782885655, 0.0, 0.0, 0.0, 0.0, 0.0]",115.56283966244725,"[0.33, 0.08, 0.14, 0.45]",Vfbh3b30DDQrS1u,-0.951095238095238,150.0,1.266210739614995,0.0
0.0,0.0,0.268,0.0,0.732,0.0,10.0,0.040398690318720086,0.13718623370181404,8.0,4.567,103.80999999999996,"[103.80999999999892, 103.81000000000044, 0.0, 0.0, 0.0, 0.0]",1.05005685239125,"[1.0500568523912386, 1.0500568523912452, 0.0, 0.0, 0.0, 0.0]","[[154, 184, -110, -46, 86, -141], [-111, -206, 168, 7, 56, 64], [53, 54, 286, 49, -109, -8], [174, -8, -147, 19, -128, 101]]",67.27399999999997,"[58.334590163934315, 91.6905970149257, 0.0, 0.0, 0.0, 0.0]",0.6804886300719483,"[0.590064889057646, 0.9274669077677198, 0.0, 0.0, 0.0, 0.0]",98.86131380753136,"[0.15, 0.27, 0.37, 0.21]",7MdK3SAZMHA9Mek,-0.7557126030624263,150.0,0.6331053698074975,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1875,0.0,6.0,41.51,"[0.0, 0.0, 41.50999999999987, 0.0, 0.0, 0.0]",0.557134986996454,"[0.0, 0.0, 0.5571349869964539, 0.0, 0.0, 0.0]","[[63, -91, -11, -55, 96, 3], [-65, 27, -60, 70, 50, 51], [-102, 115, -103, 25, 14, 48], [-98, -92, 60, -3, 1, -133]]",41.51,"[0.0, 0.0, 41.50999999999987, 0.0, 0.0, 0.0]",0.557134986996454,"[0.0, 0.0, 0.5571349869964539, 0.0, 0.0, 0.0]",74.50618067226894,"[0.02, 0.02, 0.09, 0.87]",JAHFEh04PXDWEXh,-1.0,75.0,1.266210739614995,1.2921406411582215
0.0,0.0,0.8190000000000001,0.0,0.18100000000000002,0.0,1.0,0.08995833333333335,0.1875,8.0,1.7730000000000001,58.5067,"[79.25933701657458, 53.920341880341454, 0.0, 0.0, 0.0, 0.0]",1.0246218467709771,"[1.388060654040746, 0.9443014266051349, 0.0, 0.0, 0.0, 0.0]","[[-28, 32, -152, 15, -4, 30], [105, 114, -58, -35, 75, 6], [-46, -34, -17, -107, 96, 184], [36, 80, 23, 134, -80, 69]]",44.32270000000001,"[56.54110497237567, 41.62241758241758, 0.0, 0.0, 0.0, 0.0]",0.7762189070290411,"[0.9901985823036908, 0.7289291375239026, 0.0, 0.0, 0.0, 0.0]",57.10077350427351,"[0.06, 0.56, 0.03, 0.35]",YbHbDx6pdmy2mOa,-1.0,75.0,1.519452887537994,1.5505687693898655
0.0,0.0,0.043,0.0,0.9570000000000001,0.0,0.1,0.0042494583018392535,0.11771003401360546,0.0,7.277,55.49,"[55.48999999999966, 55.489999999999974, 0.0, 0.0, 0.0, 0.0]",0.7447704270882498,"[0.7447704270882612, 0.744770427088249, 0.0, 0.0, 0.0, 0.0]","[[22, -67, -13, -62, -85, 34], [69, -77, 12, 34, 109, 188], [56, -61, 62, 8, 90, 71], [33, 76, -70, -101, 116, -14]]",55.49,"[55.48999999999966, 55.489999999999974, 0.0, 0.0, 0.0, 0.0]",0.7447704270882498,"[0.7447704270882612, 0.744770427088249, 0.0, 0.0, 0.0, 0.0]",74.50618067226894,"[0.28, 0.01, 0.16, 0.55]",J4GcwRd7tsV6aNC,-0.8376999999999999,75.0,0.8863475177304965,0.9044984488107549
0.0,0.0,0.772,0.0,0.228,0.0,10.0,0.08805555555555558,0.1875,8.0,1.61,-53.53276000000002,"[-49.56570175438596, -54.70437823834222, 0.0, 0.0, 0.0, 0.0]",-1.08685400283998,"[-1.0063124216895758, -1.1106408946823185, 0.0, 0.0, 0.0, 0.0]","[[-5, -188, -53, -14, -46, 1], [88, -29, -28, -124, 39, 150], [-118, -98, -139, -61, -26, -17], [-81, -67, -44, 54, -99, 29]]",-66.41276000000002,"[-65.56570175438586, -66.66292746113987, 0.0, 0.0, 0.0, 0.0]",-1.3483514402330634,"[-1.331153958823849, -1.353430489146656, 0.0, 0.0, 0.0, 0.0]",49.25478478260869,"[0.21, 0.24, 0.34, 0.21]",MZ5kL7S4XKsejPV,-1.0,75.0,0.3798632218844985,0.3876421923474664
0.0,0.0,0.256,0.154,0.59,0.0,0.3,0.03948490740740741,0.1702623611111111,2.0,4.0889999999999995,35.95,"[35.950000000000394, 35.94999999999997, 35.949999999999896, 0.0, 0.0, 0.0]",0.5462445234136081,"[0.5462445234136117, 0.5462445234136062, 0.5462445234136066, 0.0, 0.0, 0.0]","[[39, 28, 25, 52, 51, 55], [10, 47, 10, 115, 12, -31], [-65, 42, 16, 22, -48, 56], [-85, -100, -117, -59, -32, -132]]",27.77199999999999,"[26.438135593220615, 33.1453124999999, 23.949999999999935, 0.0, 0.0, 0.0]",0.42198339093860143,"[0.4017159047861767, 0.5036285237818539, 0.3639097729000246, 0.0, 0.0, 0.0]",65.81301680672267,"[0.17, 0.4, 0.08, 0.35]",rC6A983oAX58ZHg,-0.9673518742442564,75.0,0.759726443768997,0.7752843846949328
