pid,alpha,bonus_rate,mu,cost,sigma,bonus,completed,version,total_time,pass_check1,pass_check2,pass_check3,instruct_time
0,0.5,0.002,0,0,150,4.492,True,0.2,3.95675,True,1.0,False,2.5915666666666666
1,0.5,0.002,0,8,150,3.136,True,0.2,4.967733333333333,True,1.0,False,3.0375666666666667
2,10.0,0.002,0,8,150,3.122,True,0.2,1.9401,True,1.0,False,2.6704166666666667
3,0.5,0.002,0,0,75,1.736,True,0.2,5.615216666666667,True,1.0,True,1.7626166666666667
4,0.5,0.002,0,8,75,0.06,True,0.2,3.8232333333333335,True,1.0,False,4.696
5,0.5,0.002,0,0,75,2.074,True,0.2,2.3107,True,1.0,True,1.1916666666666667
6,10.0,0.002,0,8,75,0.254,True,0.2,4.701466666666667,False,0.6666666666666666,False,0.46145
8,10.0,0.002,0,8,75,0.182,True,0.2,4.1833,False,0.3333333333333333,False,1.3736166666666667
9,10.0,0.002,0,0,75,1.556,True,0.2,1.9282666666666666,True,1.0,True,5.628933333333333
10,0.5,0.002,0,8,75,0.5700000000000001,True,0.2,8.322366666666667,True,1.0,False,4.318433333333333
11,10.0,0.002,0,0,150,1.296,True,0.2,3.5374333333333334,False,0.6666666666666666,True,1.58795
12,0.5,0.002,0,0,150,3.3280000000000003,True,0.2,8.672583333333334,False,1.0,True,4.657866666666667
13,10.0,0.002,0,0,150,2.8080000000000003,True,0.2,9.102766666666666,True,1.0,False,4.885316666666666
14,0.5,0.002,0,8,150,2.43,True,0.2,0.7352666666666666,True,1.0,False,3.68845
15,10.0,0.002,0,8,150,1.618,True,0.2,3.7534666666666667,True,1.0,False,3.1543833333333335
16,10.0,0.002,0,0,75,0.45799999999999996,True,0.2,,False,0.3333333333333333,False,0.3438833333333333
