pid,rt,time_elapsed,trial_type,click_cost,payoff_index,probabilities,payoff_value,net_payoff,clicks,payoff_matrix,click_times,cost,choice_index,block,trial_index
15,13566.0,104102,mouselab,0,3,"[0.18000000000000002, 0.23, 0.3, 0.29]",198,198,[],"[[-137, 419, 314, 281, 7, 436], [67, -415, -267, 33, 3, 122], [-46, 193, -65, 105, 1, 243], [103, 55, -238, -29, 137, 198]]",[],8,5,instruct2,0
15,7692.0,114930,mouselab,0,2,"[0.21000000000000002, 0.43, 0.18, 0.18]",196,196,[],"[[-96, 62, -70, -28, 111, -27], [-5, 89, -223, -122, 207, 182], [13, 22, -69, 126, 196, 146], [-75, -2, -348, -92, 273, 254]]",[],8,4,instruct2,1
15,4744.0,122171,mouselab,0,2,"[0.31, 0.17, 0.29, 0.23]",186,186,[],"[[11, 208, 168, 233, -199, -5], [81, 233, 26, 293, 114, 47], [149, 94, -334, 186, -63, -438], [137, -48, 101, 193, 155, 53]]",[],8,3,instruct2,2
15,17631.0,144432,mouselab,24,3,"[0.28, 0.22, 0.24, 0.26]",-67,-91,"[16, 10, 8]","[[-327, 115, 75, 127, -37, -32], [-326, 97, 85, 38, 137, -173], [-29, -92, -82, -68, 52, 227], [29, 87, -210, -185, -67, -213]]","[13793, 14835, 15726]",8,4,instruct3,0
15,6248.0,152844,mouselab,24,0,"[0.19, 0.36, 0.2, 0.25]",-158,-182,"[1, 13, 16]","[[30, 253, -158, 77, -111, 164], [54, -39, -248, -52, 29, -301], [-23, -138, -30, 145, -90, 33], [92, -40, 172, 204, 97, -112]]","[2607, 3471, 4637]",8,2,instruct3,1
15,4492.0,159374,mouselab,24,0,"[0.3, 0.28, 0.18, 0.24]",262,238,"[6, 12, 11]","[[-277, 70, 262, -165, 148, 30], [-119, 13, 64, -36, -211, -240], [-31, 147, -104, 136, -143, -127], [27, 82, -181, -135, 32, 313]]","[1443, 2442, 3137]",8,2,instruct3,2
15,10308.0,189263,mouselab,16,1,"[0.16999999999999998, 0.28, 0.28, 0.27]",169,153,"[7, 19]","[[-11, -129, 254, 117, -124, 72], [37, 169, -150, -117, -39, -203], [151, 26, 107, 39, 148, -66], [-37, 167, 127, -44, -102, 37]]","[6821, 8242]",8,1,test,0
15,8259.0,199000,mouselab,32,3,"[0.36, 0.24, 0.18, 0.22]",-50,-82,"[3, 1, 2, 0]","[[111, -64, -42, -164, 169, -83], [36, -167, -192, -137, 222, 109], [91, -65, 397, -5, -17, -32], [-50, -36, 44, 103, 337, 513]]","[3719, 5265, 6181, 7160]",8,0,test,1
15,19293.0,220142,mouselab,88,0,"[0.21, 0.26, 0.31, 0.22]",56,-32,"[15, 16, 14, 13, 12, 17, 3, 5, 11, 7, 0]","[[56, 4, -80, -248, -110, -128], [-94, -38, 127, 65, -49, -127], [-56, -155, -172, 35, -247, 23], [-77, 17, 74, -164, -111, -19]]","[3382, 5451, 6334, 7208, 7725, 8526, 9716, 11911, 14724, 16454, 18170]",8,0,test,2
15,4616.0,227226,mouselab,16,2,"[0.2, 0.19, 0.41, 0.2]",203,187,"[14, 2]","[[227, -54, 76, -162, 349, 57], [-113, -27, 122, -104, 6, -77], [42, 37, 203, -210, 206, -12], [44, -230, -163, -104, -67, 273]]","[2515, 3875]",8,2,test,3
